Item name,Quantity,Unit of Measure,,Min.Quantity
2 way pressure transmitter manifold 6000PSI,3.00,,,2.00
2 way switch,7.00,,,2.00
2 wire RTDs for boiler,2.00,,,1.00
"2"" gasket",22.00,,,4.00
"2-1/2"" gasket",9.00,,,0.00
"2-1/2"" gasket",9.00,,,3.00
2-way stair connector,45.00,,,20.00
2-ways breeching inlet,8.00,,,2.00
2.5 micron capacitors,20.00,,,0.00
220V power cord,1.00,,,0.00
220V power cord,3.00,,,0.00
220VAC power cord,1.00,,,0.00
24V AC contactor. LC1D25M7,0.00,,,1.00
24V AL controller,4.00,,,2.00
24V power supply card,1.00,,,1.00
24V solenoid for case excavator,1.00,,,1.00
24V solenoid valve for boiler,1.00,,,0.00
24V solenoid valve for boiler,1.00,,,1.00
25 core flex cable,1.00,,,0.00
250V cable.,15.00,,,0.00
"2668000-REAGENT SET, NITROGEN AMMONIA",0.00,,,0.00
2848 fligh chain conveyor,1.00,,,0.00
2x18W 240V tube light,17.00,,,5.00
3 core RTD cable,2.00,,,1.00
3 core cable,0.00,,,0.00
3 core cable,2.00,,,1.00
3 core cable,14.00,,,0.00
3 core cable,22.00,,,0.00
3 core cable,44.00,,,15.00
3 core cable,52.00,,,15.00
3 core cable,103.00,,,20.00
3 phase cable,200.00,,,50.00
3 phase rectifier bridge,4.00,,,2.00
"3 phase, 4 wire static watthour meter",1.00,,,0.00
3 way cover,1.00,,,0.00
3 way cover,21.00,,,5.00
3 way manifold,2.00,,,1.00
3 wire RTDs,5.00,,,2.00
"3"" gasket",9.00,,,3.00
"3"" gasket",54.00,,,10.00
"3"" oblique landing valve",1.00,,,0.00
3-way stair connector,20.00,,,10.00
3.7V lithium AA batteries,0.00,,,5.00
"3/8"" ball valve",3.00,,,2.00
"3/8"" end cap",3.00,,,2.00
"3/8"" female nipple",2.00,,,1.00
"3/8"" instrument nipple",4.00,,,3.00
"3/8"" nipple (used)",2.00,,,1.00
"3/8"" pressure gauge nipple (used)",1.00,,,0.00
32209 Taper roller bearing,5.00,,,2.00
3300XL 8MM proximity transducer,8.00,,,4.00
3V auma value batteries,0.00,,,4.00
3V batteries CR1225,3.00,,,0.00
3V battery CR2032,6.00,,,3.00
4 channel CCTV camera power supply,1.00,,,0.00
4 core 50Sqmm copper flexible cable,10.00,,,0.00
4 core cable,0.00,,,0.00
4 core cable,11.00,,,5.00
4 core cable,15.00,,,5.00
4 core cable,22.00,,,5.00
4 core cable,22.00,,,10.00
4 core cable,25.00,,,10.00
4 core cable,38.00,,,15.00
4 core cable,84.00,,,20.00
4 core cable,90.00,,,25.00
4 core cable,100.00,,,20.00
4 core cable,117.00,,,25.00
4 core cable,140.00,,,25.00
4 core cable,216.00,,,25.00
4 way ABS distribution board,1.00,,,0.00
4 way cover,7.00,,,3.00
4 wire RTDs for boiler,2.00,,,1.00
"4"" Dial chemical seal gauge with contact",1.00,,,0.00
"4"" cooling fan for VFD",1.00,,,0.00
"4"" gasket",14.00,,,4.00
4-way stair connector,12.00,,,5.00
"46Mm impact socket 1"" SQDR-KEN5835290K",2.00,,,1.00
5 - Port Network switch,0.00,,,0.00
5 core cable,15.00,,,0.00
5 way cover,1.00,,,0.00
5 way cover,6.00,,,3.00
5 way manifold 6000PSI,2.00,,,1.00
5 way manifold 6000PSI,8.00,,,4.00
501G 50A spiral wounded gasket,4.00,,,0.00
"50Mm Impact socket 1"" SQDR-KEN5835330K",0.00,,,1.00
50h service kit ACV0245680,0.00,,,1.00
5500SC SILICA REAGENT SETT,0.00,,,0.00
"550A balance seal plug 4""",2.00,,,0.00
5V power supply,1.00,,,1.00
"5V power supply, 1.5A",10.00,,,10.00
"6"" gasket",19.00,,,4.00
600H service kit. Pn ACV0245700,2.00,,,2.00
608-2RS ball bearing,25.00,,,5.00
60W industrial lamp for turbine and boiler,3.00,,,1.00
6209-OIL ball bearing,10.00,,,3.00
690V VFD module,1.00,,,0.00
6Mm PVC tube fitting (used),1.00,,,0.00
6X4Mm air pipe,50.00,,,10.00
7 watt economic spiral lamp,0.00,,,2.00
8 channel CCTV SMPS,2.00,,,1.00
8 channel linearized RTD/TC input card,5.00,,,2.00
"8"" cooling fan for VFD",2.00,,,1.00
"8"" gasket",5.00,,,2.00
84us/m Conductivity solution 500ML,0.00,,,0.00
9 pin connector,35.00,,,5.00
ABB ACS580 driver,1.00,,,0.00
ABB CR - M4SS4C/0SKT/Base,3.00,,,2.00
ABB control panel kit,1.00,,,0.00
ABB hart handled communicator,1.00,,,0.00
ABB temperature transmitter,1.00,,,0.00
AC -DC Card,1.00,,,1.00
AC Air filter From GREEN LEAF/Victoria Motors,3.00,,,0.00
AC air filter Pn. ACV0111540,2.00,,,1.00
AC compressor. Pn 464-9988,0.00,,,1.00
AC cord extension cable,11.00,,,2.00
AC remote control,10.00,,,0.00
ACB display,1.00,,,0.00
ACCESSORIES,290.00,,,50.00
AINF3 2.72 + ZMU - 03 SP,1.00,,,0.00
"AMMONIA, TNT+, HR(2-47 MG/L) PK/25",0.00,,,0.00
APH Air tube sleeves,150.00,,,50.00
APRDS - Valve,1.00,,,0.00
APRDS control valve,3.00,,,2.00
APRDS spray control valve kit,2.00,,,0.00
AUMA - reduction gearing F0,2.00,,,1.00
AUMA MOV actuator pert,5.00,,,3.00
AUMA MOV terminal screw and washer,70.00,,,15.00
AUMA actuator (old) German made,0.00,,,0.00
AUMA card,2.00,,,1.00
AUMA card display,2.00,,,0.00
AWG crimp contact,100.00,,,20.00
Accessories for projector light,1.00,,,0.00
Accessoriry terminal for PHP drivers,1.00,,,0.00
Accessory Pn. ACV0079860,2.00,,,1.00
Accessory for circuit breaker,15.00,,,0.00
Accessory fuse cover for 3KL8 SZ1,1.00,,,0.00
Acetone Analytical grade 2.5L,0.00,,,0.00
Acrylcoat,1.00,,,0.00
Activated Alumina ball size 6 to 8 Mm for gas filter,0.00,,,1.00
Activated Alumina glass wool for gas filter,0.00,,,1.00
Actuator for boiler,1.00,,,0.00
Actuator for boiler,1.00,,,1.00
"Adapter Q4.  9973454938/100,200,300,400",4.00,,,0.00
Adapter sleeve. Pn H2310,12.00,,,5.00
Add opening release 220/250 DC/AC VD4G,1.00,,,0.00
Adhesive LV 203 - fevi Kwik,0.00,,,5.00
Adjustable spanner,1.00,,,1.00
Adjustable support,6.00,,,3.00
Adjusting plate,6.00,,,3.00
Adjusting ring pin for main Stream line safety valve,1.00,,,0.00
Adjusting ring pin for main steam drum safety valve,1.00,,,0.00
Adjusting ring pin for main steam line safety valve,1.00,,,0.00
Adjusting ring pin for soot blower safety valve,1.00,,,0.00
Adjusting ring pin for soot blower safety valve,1.00,,,0.00
Adjusting ring pin for steam drum safety valve.,1.00,,,0.00
Affic system set,6.00,,,3.00
Air and Oil filter for Hydra,1.00,,,1.00
Air blower (used),1.00,,,0.00
Air cell repair kit,1.00,,,0.00
Air coupling,1.00,,,0.00
"Air distribution manifold. 1/2"" NPTM x 1"" NPTF",14.00,,,5.00
Air drying paint spray,1.00,,,0.00
Air drying paint spray,2.00,,,0.00
Air drying paint spray,2.00,,,0.00
Air drying paint spray,2.00,,,0.00
Air drying paint spray,3.00,,,0.00
Air drying paint spray,5.00,,,3.00
Air drying paint spray,6.00,,,2.00
Air filter,6.00,,,3.00
Air filter (Used),2.00,,,0.00
Air filter (Used),15.00,,,0.00
Air filter 025W\HC (Used),4.00,,,0.00
Air filter CH10930 (Used),1.00,,,0.00
Air filter DAF-106,1.00,,,0.00
Air filter ECO ePM1 65%. 592x592x635 8P,4.00,,,2.00
Air filter regulator AW2000-2,4.00,,,2.00
Air filter. Pn 346-6694,2.00,,,1.00
Air filter. Pn 539-6920,2.00,,,1.00
Air fitting,13.00,,,4.00
Air header with solenoid pressure regulator,2.00,,,1.00
Air hose,0.00,,,0.00
"Air hose for Hydra ÿ12Mm, L850Mm",0.00,,,1.00
Air pocket ECO ePM1 65%. 287x592x635 4P,14.00,,,4.00
Air pocket ECO ePm1 65%. 287x592x635 4P,1.00,,,1.00
Air preparation unit,2.00,,,0.00
Air preparation unit,6.00,,,0.00
Air preparation unit (used),1.00,,,0.00
Air pressure gauge end cap,2.00,,,1.00
Air pressure header for WTP,1.00,,,0.00
Air pressure regulator clamp,1.00,,,0.00
Air purifier for JCB. Pn 32/917804,4.00,,,2.00
Air purifier for JCB. Pn 32/917805,3.00,,,2.00
Air release valve for Hydra,0.00,,,1.00
Alarm card,1.00,,,1.00
Alastomeric metal sealnt,12.00,,,4.00
Alcohol tester,2.00,,,0.00
Alcohol tester for quick test,2.00,,,0.00
Alen key end plug,1.00,,,0.00
Allen bolt M10x30Mm Material:GI,34.00,,,5.00
Allen bolt M10x35Mm Material:GI,22.00,,,5.00
Allen bolt M10x50Mm,2.00,,,0.00
Allen bolt M10x50Mm Material:SS,49.00,,,5.00
Allen bolt M10x65Mm Material:MS,35.00,,,5.00
Allen bolt M12x20Mm Material:MS,10.00,,,5.00
Allen bolt M12x25Mm Material:SS,43.00,,,10.00
Allen bolt M12x80Mm Material:MS,12.00,,,5.00
Allen bolt M16x50Mm,5.00,,,2.00
Allen bolt M20x60Mm,8.00,,,0.00
Allen bolt M8x25Mm Material:MS,8.00,,,4.00
Allen bolt M8x60Mm Material:MS,11.00,,,5.00
Allen nut bolt M10x30Mm Material:GI,1.00,,,4.00
Allen nut bolt M6x60Mm Material:GI,14.00,,,5.00
Allen nut bolt with washer M10x30Mm Material:GI,20.00,,,5.00
Altivar 320,1.00,,,0.00
Altivar machine 1.5KW (used),1.00,,,0.00
Aluminium PP flexible pipe,125.00,,,25.00
Aluminium cable lug,106.00,,,20.00
Aluminium cable lug 10-0,108.00,,,28.00
Aluminium cable lug 10-8,45.00,,,10.00
Aluminium cable lug 120-10,14.00,,,5.00
Aluminium cable lug 120-12,8.00,,,4.00
Aluminium cable lug 150∞ M12,8.00,,,4.00
Aluminium cable lug 16,490.00,,,50.00
Aluminium cable lug 16-6,32.00,,,10.00
Aluminium cable lug 170-13,5.00,,,3.00
Aluminium cable lug 185-10,5.00,,,3.00
Aluminium cable lug 185-12,48.00,,,15.00
Aluminium cable lug 185-16,162.00,,,25.00
Aluminium cable lug 240-12,124.00,,,25.00
Aluminium cable lug 240-16,167.00,,,25.00
Aluminium cable lug 25,100.00,,,20.00
Aluminium cable lug 28-6,11.00,,,4.00
Aluminium cable lug 300-16,17.00,,,5.00
Aluminium cable lug 35,96.00,,,15.00
Aluminium cable lug 35-10,32.00,,,10.00
Aluminium cable lug 35-10,35.00,,,10.00
Aluminium cable lug 35-10,50.00,,,15.00
Aluminium cable lug 35-10,54.00,,,15.00
Aluminium cable lug 35-6,66.00,,,15.00
Aluminium cable lug 35-6,100.00,,,20.00
Aluminium cable lug 35-6,100.00,,,20.00
Aluminium cable lug 35-8,12.00,,,6.00
Aluminium cable lug 35-8,18.00,,,5.00
Aluminium cable lug 35-8,278.00,,,25.00
Aluminium cable lug 4-6-8,108.00,,,25.00
Aluminium cable lug 4-6-8,114.00,,,25.00
Aluminium cable lug 400-16,16.00,,,5.00
Aluminium cable lug 50,48.00,,,10.00
Aluminium cable lug 50,50.00,,,15.00
Aluminium cable lug 50-8,60.00,,,15.00
Aluminium cable lug 70,53.00,,,10.00
Aluminium cable lug 70,60.00,,,15.00
Aluminium cable lug 70-8,18.00,,,5.00
Aluminium cable lug 85-10,24.00,,,10.00
Aluminium cable lug 95,67.00,,,15.00
Aluminium cable lug 95-10,20.00,,,5.00
Aluminium cable lug SG70,20.00,,,5.00
Aluminium cable wire,1.00,,,0.00
Aluminium clamp,922.00,,,50.00
Aluminium clamp support,247.00,,,50.00
Aluminium clip (4000 pcs per bag),23.00,,,5.00
Aluminium coil wire,1.00,,,0.00
Aluminium inline connector,28.00,,,10.00
Aluminium inline connector 120,30.00,,,10.00
Aluminium junction box,30.00,,,10.00
Aluminium junction box 55x120x80Mm,1.00,,,0.00
Aluminium ladder,11.00,,,0.00
Aluminium pipe clamp,30.00,,,10.00
Aluminium signage plate,3260.00,,,200.00
Aluminium support bar 220x20x6Mm,1.00,,,0.00
Aluminium terminal cable lug,110.00,,,25.00
Aluminium terminal cable lug,30.00,,,10.00
Aluminium terminal cable lug 120,5.00,,,3.00
Aluminium terminal cable lug 50,30.00,,,10.00
Aluminium terminal cable lug 50,35.00,,,10.00
Aluminium tubular crimping terminal socket 150 square millimeter,12.00,,,6.00
Aluminium tubular crimping terminal socket. SC 70-12,0.00,,,8.00
Aluminium wire mesh,0.00,,,2.00
Aluminium.PILC.FERR 95 square millimeter,3.00,,,2.00
Aluminum Angled cable lug. 35Mm,18.00,,,0.00
Aluminum Inline connector 35Mm,18.00,,,0.00
Aluminum Inline connector 45Mm,30.00,,,0.00
Amp meter,1.00,,,0.00
"Amp meter, class1.0",10.00,,,4.00
Ampere meter 300A,1.00,,,0.00
Analog input module,2.00,,,1.00
"Analog input module, ET 200SP HA",15.00,,,4.00
Anchor,1.00,,,0.00
Anchor bolt M12 Material:SS,101.00,,,25.00
Anchor bolt M20x95Mm Material:GI,4.00,,,2.00
Anchor bolt M36x1350,19.00,,,5.00
Anchor bolt M6x72Mm Material:GI,668.00,,,30.00
Anchor bolt M8x45Mm Material:GI,16.00,,,5.00
Anchor clamp,7.00,,,4.00
Anchor fastener bolt,2.00,,,1.00
Anchor flange. B16.5 a105N1500S/160 4 450119213,2.00,,,1.00
Anchor flush M8x30Mm Material:GI,320.00,,,30.00
Anchor for boiler refactory,181.00,,,15.00
Anchor nut bolt M10 Material:GI,5.00,,,4.00
Anchor nut bolt M10x195Mm Material:GI,8.00,,,4.00
Anchor nut bolt M10x85Mm Material:GI,3.00,,,3.00
Anchor nut bolt M12x195Mm Material:GI,7.00,,,3.00
Anchor nut bolt M16x142Mm Material:GI,9.00,,,5.00
Anchor nut bolt M16x145Mm Material:GI,5.00,,,3.00
Anchor nut bolt M16x175Mm Material:GI,17.00,,,5.00
Anchor nut bolt M16x200Mm Material:GI,5.00,,,3.00
Anchor nut bolt M16x200Mm Material:GI,20.00,,,0.00
Anchor nut bolt M16x250Mm Material:GI,3.00,,,1.00
Anchor nut bolt M16x80Mm Material:GI,70.00,,,20.00
Anchor nut bolt M18x150Mm Material:GI,11.00,,,3.00
Anchor nut bolt M18x155Mm Material:GI,8.00,,,4.00
Anchor nut bolt M20x150Mm Material:GI,2.00,,,1.00
Anchor nut bolt M8x60Mm Material:GI,20.00,,,10.00
Anchor nut bolt M8x75Mm Material:GI,8.00,,,4.00
Anchor rod M12,3.00,,,2.00
Anchor rod M16,21.00,,,10.00
Angle valves,0.00,,,0.00
Antena cable 25 Meters long,1.00,,,0.00
"Anti vibration clamp M6 , 1""",2.00,,,0.00
Anti-vibration pipe clamp M10,30.00,,,15.00
Anti-vibration pipe clamp M6,37.00,,,15.00
Anti-vibration vibration pipe clamp M16,9.00,,,5.00
Araldite adhesive,2.00,,,0.00
Arc extinguishing vulcanizing,0.00,,,0.00
Argon welding accessories,3.00,,,2.00
"Asic board kit, not programmed",3.00,,,2.00
"Assembly, Front roller for soot blower",1.00,,,0.00
Auma repaired cards,2.00,,,1.00
Auxiliary card,1.00,,,1.00
"Auxiliary relay, 110V",1.00,,,0.00
Auxiliary switch block,1.00,,,0.00
Auxiliary switch block,4.00,,,2.00
Auxiliary switch block,6.00,,,2.00
Auxiliary switch block (Used),1.00,,,0.00
Axial grooved ball bearing 51103,1.00,,,0.00
BE 25x40x7Mm AS,8.00,,,3.00
BE 35x52x7Mm AS,4.00,,,3.00
BFF32A2 fuse holder,1.00,,,0.00
BNC connector,98.00,,,20.00
"BPW 1/2"" - 01NPT",75.00,,,15.00
BRACO cable gland 1619 + 1615,264.00,,,50.00
BUFFER SLN RED pH 4 500ML,0.00,,,0.00
Back filter cages,1.00,,,0.00
Bag filter,2.00,,,1.00
Bag filter Cup,20.00,,,4.00
Bag filter accessories,4.00,,,2.00
Bag filter accessories,11.00,,,5.00
Bag filter hydrator spray nozzle,6.00,,,3.00
Bag filter top dummy,322.00,,,50.00
Bag for cage,123.00,,,25.00
"Bagfilter sov, diaphragm",76.00,,,15.00
"Balance seal ID61.4, OD72.6",2.00,,,0.00
"Balance seal OD37.3, ID30.7",2.00,,,0.00
Ball bearing grease,1.00,,,1.00
Ball bearing roller,2.00,,,1.00
"Ball valve 1""",2.00,,,1.00
"Ball valve 1""",4.00,,,2.00
"Ball valve 1""",4.00,,,2.00
"Ball valve 1""",5.00,,,3.00
"Ball valve 1""",35.00,,,10.00
"Ball valve 1-1/2""",2.00,,,1.00
"Ball valve 1/2""",1.00,,,0.00
"Ball valve 1/2""",1.00,,,0.00
"Ball valve 1/2""",1.00,,,0.00
"Ball valve 1/2""",1.00,,,0.00
"Ball valve 1/2""",4.00,,,2.00
"Ball valve 1/2""",4.00,,,2.00
"Ball valve 1/2""",15.00,,,5.00
"Ball valve 1/2""",21.00,,,8.00
"Ball valve 1/2"" (used)",3.00,,,2.00
"Ball valve 1/4""",1.00,,,1.00
"Ball valve 2""",2.00,,,1.00
"Ball valve 2""",2.00,,,1.00
"Ball valve 2""",2.00,,,2.00
"Ball valve 2""",3.00,,,2.00
"Ball valve 2""",3.00,,,2.00
"Ball valve 2""",4.00,,,2.00
"Ball valve 2-1/2""",2.00,,,1.00
"Ball valve 3""",1.00,,,0.00
"Ball valve 3-4""",2.00,,,1.00
"Ball valve 3/4""",16.00,,,4.00
"Ball valve 4""",2.00,,,1.00
Ball valve with funnel 1-1/4,1.00,,,0.00
Balls for bearing,2.00,,,1.00
Bar saddle clamp,138.00,,,15.00
Barcode scanner,1.00,,,0.00
Battery Water (acid),40.00,,,4.00
"Battery charger 24V, 20A",1.00,,,1.00
Battery terminal,4.00,,,2.00
Baybrite saucer light 180W 240V,2.00,,,1.00
Bearing 2809,8.00,,,3.00
Bearing 3306 A-2RS1TN9,0.00,,,0.00
Bearing 6010RS,2.00,,,3.00
Bearing 608Z,0.00,,,3.00
Bearing ball,10.00,,,2.00
Bearing balls,17.00,,,5.00
Bearing greasing nipple M6,3.00,,,2.00
Bearing housing,2.00,,,1.00
Bearing housing FY 509 M. Pn 179-0025,8.00,,,4.00
Bearing housing Pn.391862,1.00,,,4.00
Bearing housing kit end cover GR-TSO 224-524 P27,1.00,,,0.00
Bearing housing kit end cover GR-TSO 228-528 P28,1.00,,,0.00
Bearing housing kit end cover GR-TSO-229-529-P27,1.00,,,0.00
Bearing removal tool,4.00,,,0.00
Bearing shell,4.00,,,1.00
"Bearing, 23218-E1A-XL-M C3",2.00,,,2.00
Bearings 6002 - 2RSH\C3,8.00,,,0.00
Bearings 6305 - 2RS1/C3,3.00,,,2.00
Bearings YSP 209 SB20DW/AG,8.00,,,4.00
Belt 3599 LP / B 140,3.00,,,3.00
Belt A 1052 LP / A40,2.00,,,2.00
Belt A 1230 LP / A 47,4.00,,,2.00
Belt A 1941 LP / A 75,6.00,,,3.00
Belt A-36,8.00,,,2.00
Belt A-40,2.00,,,1.00
Belt B-36 for case excavator,0.00,,,1.00
Belt SPA 1090,1.00,,,0.00
Belt for JCB. Pn 320/08671,1.00,,,1.00
Belt lubricant/spray,2.00,,,0.00
Belt pulley,1.00,,,0.00
Belt. Pn 422-0662,2.00,,,1.00
Belt. Pn 423-5407,1.00,,,1.00
Bently Cable extension/probe,1.00,,,0.00
Big grinding disc. 230X7X22.23Mm,7.00,,,0.00
Bimetallic strip,50.00,,,20.00
"Blind flange OD106Mm (1"") Material:MS",4.00,,,2.00
"Blind flange OD106Mm (11/4"") Material:SS",1.00,,,0.00
"Blind flange OD106Mm (2"") Material:MS",14.00,,,4.00
"Blind flange OD108Mm (1"") Material: Bronze",16.00,,,4.00
"Blind flange OD108Mm (1"") Material:MS",10.00,,,5.00
"Blind flange OD108Mm (1"") Material:SS",1.00,,,1.00
"Blind flange OD108Mm (11/4"") Material: Bronze",4.00,,,2.00
"Blind flange OD108Mm (11/4"") Material:MS",1.00,,,0.00
Blind flange OD114Mm (11/4) Material:MS,2.00,,,1.00
"Blind flange OD124Mm (11/2"") Material:Bronze",4.00,,,2.00
"Blind flange OD126Mm (11/4"") Material:SS",1.00,,,0.00
"Blind flange OD152Mm (21/2"") Material:MS",2.00,,,1.00
"Blind flange OD152Mm (21/2"") Material:SS",15.00,,,5.00
"Blind flange OD152Mm (3"") Material:MS",4.00,,,2.00
"Blind flange OD152Mm (3"") Material:SS",5.00,,,2.00
"Blind flange OD153Mm (2"") Material:MS",4.00,,,2.00
"Blind flange OD190Mm (3"") Material:Bronze",3.00,,,2.00
"Blind flange OD210Mm (3"") Material:MS",1.00,,,0.00
"Blind flange OD210Mm (4"") Material:MS",1.00,,,0.00
