Item name,Quantity,Unit of Measure,,Min.Quantity
Coupler 20Mm,153.00,,,28.00
Coupler 25Mm,163.00,,,25.00
"Coupling 1"" Material:GIa",15.00,,,5.00
"Coupling 1"" Material:MS",1.00,,,0.00
"Coupling 1-1/2"" Material:Bronze",18.00,,,8.00
"Coupling 1-1/2"" Material:GI",1.00,,,0.00
"Coupling 1-1/2"" Material:GI",1.00,,,0.00
"Coupling 1-1/2"" Material:GI",1.00,,,0.00
"Coupling 1-1/2"" Material:GI",1.00,,,0.00
"Coupling 1-1/2"" Material:GI",2.00,,,1.00
"Coupling 1-1/2"" Material:GI",5.00,,,2.00
"Coupling 1-1/2""x1-1/4"" Material:MS",1.00,,,0.00
"Coupling 1-1/2""x1-1/4"" Material:MS",22.00,,,10.00
"Coupling 1-1/4"" Material: Bronze",18.00,,,8.00
"Coupling 1-1/4"" Material:MS",1.00,,,0.00
"Coupling 1-1/4"" Material:MS",2.00,,,1.00
"Coupling 1-1/4"" Material:MS",7.00,,,3.00
"Coupling 1-1/4""x1"" Material: Bronze",9.00,,,5.00
"Coupling 1-1/4""x1"" Material:MS",3.00,,,2.00
"Coupling 1-1/4""x1"" Material:MS",5.00,,,3.00
"Coupling 1-1/4""x2"" Material:MS",1.00,,,0.00
"Coupling 1-1/4""x3/4"" Material: Bronze",1.00,,,0.00
"Coupling 1/2""",2.00,,,1.00
"Coupling 1/2"" : Material:GI",11.00,,,5.00
"Coupling 1/2"" Material:MS",2.00,,,1.00
"Coupling 1/2"" Material:MS",16.00,,,8.00
"Coupling 1/2"" Material:MS",17.00,,,8.00
"Coupling 1/2""x3/4"" Material:MS",4.00,,,2.00
"Coupling 1/2""x3/4"" Material:MS",22.00,,,8.00
"Coupling 2"" Material:GI",3.00,,,2.00
"Coupling 2"" Material:GI",1.00,,,0.00
"Coupling 2"" Material:MS",8.00,,,4.00
"Coupling 2"" Material:MS",13.00,,,6.00
"Coupling 2"" Material:MS",5.00,,,3.00
"Coupling 2""x1-1/4"" Material:MS",10.00,,,5.00
"Coupling 2-1/2"" Material: Bronze",7.00,,,3.00
"Coupling 2-1/2"" Material:GI",1.00,,,0.00
"Coupling 2-1/2"" Material:GI",1.00,,,0.00
Coupling 22Mmx18Mm Material:SS,43.00,,,10.00
"Coupling 3"" L100Mm Material:MS",1.00,,,0.00
"Coupling 3"" L130Mm Material:MS",1.00,,,0.00
"Coupling 3"" Material:MS",7.00,,,3.00
"Coupling 3/4"" Material:GI",1.00,,,0.00
"Coupling 3/4"" Material:MS",3.00,,,2.00
"Coupling 3/4"" Material:MS",4.00,,,2.00
"Coupling 3/4"" Material:MS",29.00,,,8.00
"Coupling 3/4"" Material:MS",43.00,,,10.00
"Coupling 3/4""x1/2"" Material: Bronze",14.00,,,8.00
"Coupling 3/4""x1/2"" Material:MS",4.00,,,2.00
"Coupling 3/4""x1/2"" Material:MS",20.00,,,8.00
"Coupling 3/4""x1/2"" Material:MS",33.00,,,10.00
"Coupling 3/4""x7/16"" Material:MS",35.00,,,10.00
"Coupling 4"" Material: Bronze",2.00,,,1.00
"Coupling 4"" Material:MS",9.00,,,5.00
"Coupling 5"" Material: Bronze",2.00,,,1.00
Coupling G14S,3.00,,,2.00
Coupling M20,5.00,,,3.00
Coupling for conveyor spider above peat,4.00,,,2.00
"Coupling with pipe nipple 1""x1-1/2""",2.00,,,1.00
Cover Seal. P1196650,2.00,,,1.00
"Cover gasket (BK45\46, MK45) for steam traps",8.00,,,0.00
Cover plate GD-5D-W5,10.00,,,3.00
Crane remote,2.00,,,1.00
Cranking handle,1.00,,,0.00
Crimping terminal ends connector 6SQMm,200.00,,,25.00
Crimping tool,0.00,,,0.00
Crimping tool,2.00,,,0.00
Crocodile clip,15.00,,,5.00
Crompton lamp 100W 230V,4.00,,,2.00
Crusher house lubricating fittings,460.00,,,20.00
Cup wire brush,1.00,,,0.00
Cupper earthing rod,4.00,,,2.00
Current Transformer Class 5P 20,9.00,,,4.00
Current Transformer Class B,3.00,,,2.00
Current injection test set,1.00,,,0.00
Current transformer,6.00,,,2.00
Curved washer M10 Material:GI,119.00,,,25.00
Curved washer M10x2.5Mm Material:GI,22.00,,,10.00
Curved washer M10x2Mm Material:GI,725.00,,,30.00
Curved washer M12x3.2 Material:GI,77.00,,,10.00
Curved washer M12x3.2Mm Material:SS,16.00,,,5.00
Curved washer M12x3Mm Material:GI,7.00,,,5.00
Curved washer M12x3Mm Material:GI,35.00,,,10.00
Curved washer M12x3Mm Material:GI,80.00,,,20.00
Curved washer M42x3Mm Material:GI,53.00,,,5.00
Cutting disc 230X3X22.23Mm (big),19.00,,,3.00
Cutting insert NC320 for lathe machine,10.00,,,5.00
Cylinder head cover gasket. Pn V8370267881,1.00,,,3.00
Cylindrical Roller Bearing. Pn VLA9195,6.00,,,3.00
D-Link internet cable,8.00,,,0.00
DC - DC card,1.00,,,1.00
DC capacitor 820 microfarad,3.00,,,2.00
DC filter capacitor 200VDC 10000 Mfd,16.00,,,4.00
DC spiral power cord/cable 5A,1.00,,,1.00
DC24V 1.2A cooling fan,0.00,,,0.00
DC24V 3.4A cooling fan,1.00,,,0.00
DCS TG panel rack,6.00,,,3.00
DCS server panel plate,1.00,,,0.00
DI card,2.00,,,1.00
DJI phantom drone,0.00,,,0.00
DN8 female & male drain valve,2.00,,,1.00
DO card,3.00,,,0.00
DO sensor,1.00,,,0.00
"DPD FREE CHLORINE RGT PP, 10 ML, PK/100-2105569",0.00,,,0.00
DPT,2.00,,,1.00
"Data cable, Air connect solutions",1.00,,,0.00
DeWalt grinding disc 180x6.3x22.23Mm,20.00,,,5.00
DeWalt metal cutting machine. D28870,3.00,,,0.00
Deaerator trays,10.00,,,2.00
Delay module,1.00,,,0.00
"Densit wearFlex 2000, Part B",254.00,,,25.00
Desk Top hand set station,1.00,,,0.00
Diagnostic module,1.00,,,0.00
Dial gauge indicator  0- 50Mm,1.00,,,1.00
Diamond wheel ÿ22Mm,3.00,,,1.00
"Diaphragm Accumulator, 0.75 L. Pn V37095500",19.00,,,2.00
Diaphragm Accumulator. Pn ACV0025970,2.00,,,1.00
Diaphragm Accumulator. Pn ACV076103A,2.00,,,1.00
Diesel hose,3.00,,,0.00
Diesel particulate filter. Pn 442-0634,1.00,,,1.00
Different 690V VFD cards,3.00,,,2.00
Different electric motor couplings,2.00,,,1.00
Different gauges (used),1.00,,,0.00
Different limit switch (used),8.00,,,0.00
Different power adapters (none working),3.00,,,0.00
Different sizes of cable lug and cable terminal ends connector,1.00,,,0.00
Differential O-ring. Pn VKH4174,0.00,,,5.00
Differential pressure deltabar PMD75,1.00,,,0.00
Differential pressure gauge,4.00,,,2.00
Differential pressure measurement PMD55,2.00,,,1.00
Differential pressure static,3.00,,,2.00
Differential pressure static,3.00,,,0.00
Digimacks digital pressure indicator,1.00,,,0.00
Digital Process controller,1.00,,,0.00
Digital clamp meter,1.00,,,0.00
Digital door security lock,0.00,,,0.00
Digital input module,1.00,,,0.00
Digital line monitoring relay,2.00,,,1.00
Digital line monitoring relay,2.00,,,2.00
Digital module,3.00,,,2.00
Digital tachometer,1.00,,,0.00
Digital weighing machine (used),1.00,,,0.00
Diod - Diod modul,1.00,,,1.00
Disc filter,4.00,,,2.00
Disc pressure control diamond power,1.00,,,0.00
Discharge chain conveyor.690V VFD PMCC-2/A3,1.00,,,0.00
Discharge resistor,2.00,,,1.00
Dismounted cabinets,25.00,,,10.00
"Distribution block R1"", 24VDC, AR50-FIS00327",1.00,,,0.00
Distribution panel (used),3.00,,,2.00
Dive belt B 3294 LP / B 128,3.00,,,3.00
Door handle,1.00,,,0.00
Door handle,4.00,,,2.00
Door hinge,2.00,,,2.00
Door inter lock kit,6.00,,,3.00
Door interlock,4.00,,,2.00
Door limit switch,20.00,,,5.00
Door lock cover,1.00,,,0.00
Door lock cylinder,0.00,,,4.00
Door mounted rotary operator,6.00,,,3.00
Door mounted rotary operator for VA2 400A/630A with 8UC62,43.00,,,20.00
Door rope 25Mm,4.00,,,1.00
Door sealing,4.00,,,2.00
Door sealing frame,6.00,,,3.00
Doser pump,1.00,,,0.00
"Double guage valve 1/2""",9.00,,,5.00
"Drain pot 1"" Material:GI",25.00,,,10.00
"Drain pot 1-1/2"" Material:GI",38.00,,,10.00
Drain pots,36.00,,,5.00
"Drain trap valve 1/2""",2.00,,,2.00
"Drain trap valve 1/4""",1.00,,,0.00
"Drain trap valve 1/4""",2.00,,,1.00
Drill bit  35Mm (used),1.00,,,1.00
Drill bit 10.5Mm,3.00,,,3.00
Drill bit 10Mm for concrete,1.00,,,0.00
Drill bit 12Mm,2.00,,,0.00
Drill bit 12Mm for concrete,2.00,,,0.00
Drill bit 16Mm,2.00,,,0.00
Drill bit 19Mm,1.00,,,0.00
Drill bit 23Mm,1.00,,,0.00
Drill bit 26Mm,1.00,,,0.00
Drill bit 27Mm,1.00,,,0.00
Drill bit 28Mm,3.00,,,0.00
Drill bit 30Mm,2.00,,,0.00
Drill bit 32Mm,1.00,,,0.00
Drill bit 3Mm,4.00,,,3.00
Drill bit 3Mm,26.00,,,5.00
Drill bit 4Mm,1.00,,,0.00
Drill bit 5Mm,2.00,,,0.00
Drill bit 5Mm,5.00,,,3.00
Drive belt 892114.0,3.00,,,1.00
Drive belt A 1128/A 43 FOR Hydra,1.00,,,0.00
Drive belt A 1916 LP / A74,3.00,,,2.00
Drive belt A 2170 LP / A 84,9.00,,,3.00
Drive belt A 25,4.00,,,2.00
Drive belt A 36,2.00,,,2.00
Drive belt A 37,4.00,,,2.00
Drive belt A 50,1.00,,,0.00
Drive belt A 59,1.00,,,2.00
Drive belt A 85,4.00,,,2.00
Drive belt A1050/A40,2.00,,,2.00
Drive belt A1687 LP / A 65,0.00,,,2.00
Drive belt AX 37,4.00,,,2.00
Drive belt B127,9.00,,,3.00
Drive belt B128,1.00,,,2.00
Drive belt EL 1305 J5,2.00,,,1.00
Drive belt SPA 1150 LP,4.00,,,2.00
Drive shaft for Valtra tractors. Pn ACX2503120,0.00,,,2.00
"Driver board (faulty, removed from unit1)",0.00,,,0.00
Driving shaft (EN8) 262x30. 2 ton EWRH idnoore,1.00,,,0.00
Drum hoist break,2.00,,,1.00
"Dual threaded nipple 1/4""",6.00,,,3.00
Duct support,5.00,,,3.00
Durometer,1.00,,,0.00
EMC suppressor for motor,8.00,,,3.00
EMCO automatic voltage regulating relay,1.00,,,0.00
EP-3 grease,49.00,,,50.00
EPDM gasket 68x28x5Mm,10.00,,,2.00
ESv control for turbine,1.00,,,0.00
EVALUATION BOARD 32 PROR-604GB12E4S R-3,1.00,,,1.00
Earth auger machine,1.00,,,0.00
Earth clamp,3.00,,,0.00
Earth fault relay,1.00,,,0.00
Earth fault relay,3.00,,,1.00
Earth fault relay,4.00,,,2.00
Earthing joint cable,4.00,,,2.00
Earthing joint cable,8.00,,,4.00
Earthing pipe clamp,21.00,,,5.00
"Edn cap 1-1/4"" Material:MS",1.00,,,0.00
Effic system diaphram,15.00,,,4.00
"Elbow 1"" 45∞ Material:GI",1.00,,,0.00
"Elbow 1"" 45∞ Material:GI",7.00,,,4.00
"Elbow 1"" 45∞ Material:GI",8.00,,,4.00
"Elbow 1"" 45∞ Material:MS",1.00,,,0.00
"Elbow 1"" 45∞ Material:MS",2.00,,,1.00
"Elbow 1"" 45∞ Material:MS",4.00,,,2.00
"Elbow 1"" 45∞ Material:MS",267.00,,,30.00
"Elbow 1"" 90∞ Material:GI",2.00,,,2.00
"Elbow 1"" 90∞ Material:MS",1.00,,,1.00
"Elbow 1"" 90∞ Material:MS",3.00,,,2.00
"Elbow 1"" 90∞ Material:MS",5.00,,,3.00
"Elbow 1"" 90∞ Material:MS",5.00,,,3.00
"Elbow 1"" 90∞ Material:MS",16.00,,,6.00
"Elbow 1"" 90∞ Material:MS",20.00,,,8.00
"Elbow 1"" 90∞ Material:MS",25.00,,,5.00
"Elbow 1"" Material:MS",6.00,,,3.00
"Elbow 1-1/2"" 180∞Material:MS",8.00,,,4.00
"Elbow 1-1/2"" 45∞ Material:GI",1.00,,,0.00
"Elbow 1-1/2"" 45∞ Material:MS",4.00,,,2.00
"Elbow 1-1/2"" 45∞ Material:MS",9.00,,,5.00
"Elbow 1-1/2"" 45∞ Material:MS",16.00,,,8.00
"Elbow 1-1/2"" 45∞ Material:MS",35.00,,,10.00
"Elbow 1-1/2"" 90∞ Material:MS",1.00,,,0.00
"Elbow 1-1/2"" 90∞ Material:MS",1.00,,,0.00
"Elbow 1-1/2"" 90∞ Material:MS",1.00,,,0.00
"Elbow 1-1/2"" 90∞ Material:MS",3.00,,,2.00
"Elbow 1-1/2"" 90∞ Material:MS",9.00,,,5.00
"Elbow 1-1/2"" 90∞ Material:MS",13.00,,,6.00
"Elbow 1-1/2"" Material: Bronze",1.00,,,0.00
"Elbow 1-1/2"" Material:MS",18.00,,,5.00
"Elbow 1-1/4"" 45∞ Material:MS",4.00,,,2.00
"Elbow 1-1/4"" 45∞ Material:MS",11.00,,,5.00
"Elbow 1-1/4"" 45∞ Material:MS",12.00,,,6.00
"Elbow 1-1/4"" 45∞ Material:MS",64.00,,,10.00
"Elbow 1-1/4"" 90∞ Material:GI",2.00,,,1.00
"Elbow 1-1/4"" 90∞ Material:GI",2.00,,,1.00
"Elbow 1-1/4"" 90∞ Material:GI",36.00,,,10.00
"Elbow 1-1/4"" 90∞ Material:MS",12.00,,,6.00
"Elbow 1-1/4"" 90∞ Material:MS",20.00,,,8.00
"Elbow 1-1/4"" 90∞ Material:MS",25.00,,,10.00
"Elbow 1/2"" 45∞ Material:MS",1.00,,,0.00
"Elbow 1/2"" 45∞ Material:MS",1.00,,,0.00
"Elbow 1/2"" 45∞ Material:MS",8.00,,,4.00
"Elbow 1/2"" 45∞ Material:MS",12.00,,,6.00
"Elbow 1/2"" 90∞ Material:GI",2.00,,,1.00
"Elbow 1/2"" 90∞ Material:GI",3.00,,,2.00
"Elbow 1/2"" 90∞ Material:MS",1.00,,,0.00
"Elbow 1/2"" 90∞ Material:MS",1.00,,,0.00
"Elbow 1/2"" 90∞ Material:MS",1.00,,,0.00
"Elbow 1/2"" 90∞ Material:MS",4.00,,,2.00
"Elbow 1/2"" 90∞ Material:MS",6.00,,,3.00
"Elbow 1/2"" 90∞ Material:MS",7.00,,,5.00
"Elbow 1/2"" Material:MS",2.00,,,1.00
"Elbow 1/2""x1"" 90∞ Material:GI",11.00,,,5.00
"Elbow 1/4"" 90∞ Material:MS",1.00,,,0.00
"Elbow 10"" 90∞Material:GI",1.00,,,0.00
"Elbow 2"" 45"" Material:GI",1.00,,,0.00
"Elbow 2"" 45"" Material:GI",1.00,,,0.00
"Elbow 2"" 45∞ Material:GI",1.00,,,0.00
"Elbow 2"" 45∞ Material:GI",2.00,,,1.00
"Elbow 2"" 45∞ Material:GI",5.00,,,1.00
"Elbow 2"" 45∞ Material:MS",1.00,,,0.00
"Elbow 2"" 45∞ Material:MS",2.00,,,1.00
"Elbow 2"" 45∞ Material:MS",2.00,,,1.00
"Elbow 2"" 45∞ Material:MS",3.00,,,2.00
"Elbow 2"" 45∞ Material:MS",10.00,,,5.00
"Elbow 2"" 45∞ Material:MS",17.00,,,8.00
"Elbow 2"" 90∞ Material GI",7.00,,,4.00
"Elbow 2"" 90∞ Material:GI",4.00,,,2.00
"Elbow 2"" 90∞ Material:GI",13.00,,,5.00
"Elbow 2"" 90∞ Material:MS",1.00,,,0.00
"Elbow 2"" 90∞ Material:MS",1.00,,,0.00
"Elbow 2"" 90∞ Material:MS",1.00,,,0.00
"Elbow 2"" 90∞ Material:MS",3.00,,,2.00
"Elbow 2"" 90∞ Material:MS",4.00,,,2.00
"Elbow 2"" 90∞ Material:MS",15.00,,,5.00
"Elbow 2"" 90∞ Material:MS",17.00,,,8.00
"Elbow 2"" Material:GI",11.00,,,5.00
"Elbow 2-1/2"" 45∞ Material:MS",2.00,,,1.00
"Elbow 2-1/2"" 45∞ Material:MS",2.00,,,1.00
"Elbow 2-1/2"" 45∞ Material:MS",3.00,,,2.00
"Elbow 2-1/2"" 90∞ Material:MS",1.00,,,0.00
"Elbow 2-1/2"" 90∞ Material:MS",3.00,,,2.00
"Elbow 2-1/2"" 90∞ Material:MS",6.00,,,3.00
"Elbow 2-1/2"" Material:GI",7.00,,,3.00
"Elbow 2-1/2"" Material:MS",3.00,,,2.00
"Elbow 2-1/2"" Material:MS",3.00,,,2.00
Elbow 20Mm,8.00,,,5.00
Elbow 20Mm,19.00,,,5.00
Elbow 20Mm,19.00,,,10.00
"Elbow 21/2"" 45∞ Material:GI",8.00,,,4.00
Elbow 250Mm,2.00,,,1.00
Elbow 25Mm,6.00,,,3.00
"Elbow 3"" 45∞ Material:GI",11.00,,,5.00
"Elbow 3/4"" 45∞ Material:MS",3.00,,,2.00
"Elbow 3/4"" 90∞ Material:GI",2.00,,,1.00
"Elbow 3/4"" 90∞ Material:GI",13.00,,,5.00
"Elbow 3/4"" 90∞ Material:MS",1.00,,,0.00
"Elbow 3/4"" 90∞ Material:MS",3.00,,,2.00
"Elbow 3/4"" 90∞ Material:MS",12.00,,,5.00
"Elbow 3/4"" 90∞ Material:MS",26.00,,,10.00
"Elbow 3/4""x1-1/4"" Material:GI",1.00,,,0.00
"Elbow 3/4""x1-1/4"" Material:GI",8.00,,,4.00
"Elbow 4"" 45∞ Material:MS",2.00,,,1.00
"Elbow 4"" 45∞ Material:MS",12.00,,,4.00
"Elbow 4"" 90∞ Material:MS",2.00,,,1.00
"Elbow 4"" Material:GI",6.00,,,3.00
"Elbow 6"" 90∞ Material:MS",22.00,,,8.00
"Elbow 6"" Material:MS",1.00,,,0.00
"Elbow 8"" 90∞ Material:MS",3.00,,,2.00
Elbow 8∞ 90∞ Material:GI,1.00,,,0.00
Elbow fitting/angel adapter,6.00,,,3.00
"Elbow ÿ100Mm (4"") 90∞ Material:GI",1.00,,,0.00
Elbow ÿ11.5Mm Material:GI,2.00,,,1.00
Electric fire pump control,1.00,,,0.00
Electric motor,2.00,,,0.00
Electric motor (None working),1.00,,,0.00
Electric motor (Used),1.00,,,0.00
"Electric motor 1.1Kw, 1450Rpm",2.00,,,1.00
"Electric motor 240V, 15A , 1440RPM",2.00,,,1.00
"Electric motor 400V, 55KW , 2973RMP",3.00,,,2.00
"Electric motor 415V, 5A 1440RPM",0.00,,,0.00
Electric motor clamp,16.00,,,4.00
Electric motor couplings,1.00,,,0.00
Electric motor fan,2.00,,,1.00
Electric motor shaft,1.00,,,0.00
Electric motor shim 150x126x,36.00,,,10.00
Electric motors (used),3.00,,,2.00
Electric panel push button (green),38.00,,,10.00
Electric panel push button (yellow),10.00,,,5.00
Electric screw driver (faulty),1.00,,,0.00
Electric timer,2.00,,,1.00
Electrical cabinet key,6.00,,,3.00
Electrical cabinet lock,50.00,,,10.00
Electrical fitting/accessories,3.00,,,2.00
"Electrical motor 400V, 960RPM KWHP 2.2/3.0",1.00,,,0.00
Electrical panel accessories,5.00,,,3.00
Electrical panel clamp,5500.00,,,250.00
Electrical panel keys,7.00,,,0.00
Electrical panel lock,4.00,,,2.00
Electrical panel mounting bracket,38.00,,,10.00
Electrical panel plate,7.00,,,4.00
Electrical panel support,24.00,,,5.00
Electrical socket,4.00,,,4.00
Electrode holder for welding machine 1000 Ampers,1.00,,,1.00
Electromagnetic plate (used),1.00,,,0.00
Electromagnetic plate-brake,1.00,,,0.00
Electronic spray,1.00,,,1.00
Element - AS. Pn 389-1076,6.00,,,3.00
Element filter. Pn 245-6375,5.00,,,2.00
Ellen bolt M8x65Mm,10.00,,,4.00
Emergency shut down switch,2.00,,,1.00
Emergency stop button with key (Red),63.00,,,20.00
Emergency stop push button,6.00,,,2.00
Empty tool box,1.00,,,0.00
Empty tool box (no tools inside),1.00,,,1.00
End cap,4.00,,,0.00
End cap,13.00,,,5.00
"End cap (stopper) 1/2"" Material:GI",1.00,,,0.00
"End cap 1"" Material:GI",103.00,,,20.00
"End cap 1-1/2"" Material:MS",2.00,,,1.00
"End cap 1-1/4"" Material:MS",1.00,,,0.00
"End cap 1-1/4"" Material:MS",6.00,,,3.00
"End cap 1/2 "" Material:GI",1.00,,,0.00
"End cap 1/2"" Material:GI",2.00,,,1.00
"End cap 1/2"" Material:MS",1.00,,,0.00
"End cap 1/2"" Material:MS",1.00,,,0.00
"End cap 1/2"" Material:MS",2.00,,,1.00
"End cap 1/2"" Material:MS",56.00,,,10.00
"End cap 2"" Material:GI",1.00,,,0.00
"End cap 2"" Material:MS",1.00,,,0.00
"End cap 2"" Material:MS",23.00,,,5.00
"End cap 2-1/2"" Material:MS",2.00,,,1.00
"End cap 3/4"" Material:GI",13.00,,,5.00
"End cap 3/4"" Material:MS",1.00,,,0.00
"End cap 5"" Material:MS",1.00,,,0.00
"End cap 6"" Material:MS",3.00,,,2.00
"End cap ÿ32Mm (11/4"") Material:MS",4.00,,,2.00
"End cap ÿ38 (11/4"") Material MS",1.00,,,0.00
End plug,3.00,,,1.00
Endress liquiphant level sensor,18.00,,,8.00
Engine air filter from GREEN LEAF/Victoria Motors,3.00,,,3.00
Engine air filter. Pn 245-6376,5.00,,,3.00
Engine air filter. Pn 428-7984,3.00,,,2.00
Engine air filter. Pn ACV0066710,10.00,,,5.00
Engine air filter. Pn ACX2412640,5.00,,,3.00
Engine oil 5W-40,6.00,,,0.00
Engine oil filter for JCB. Pn 320/A7357,3.00,,,2.00
Engine oil filter for caterpillar. Pn 462-1171,0.00,,,0.00
Engine oil filter. Pn 462-1171,5.00,,,6.00
Engine oil filter. PnV836362228,19.00,,,5.00
"Ethanol absolut, Analytical grade 2.5L",0.00,,,0.00
Ethernet gateway,2.00,,,1.00
Exhaust fan,1.00,,,0.00
Exhaust fan (used),1.00,,,0.00
Expansion sleeve D68.5x78-T2,32.00,,,10.00
Expansion tank ACV0295690,3.00,,,0.00
Explosion detector,6.00,,,3.00
Extension cable 25 Meters,2.00,,,1.00
Extension nipple 20Mm. LCA10CP503,16.00,,,4.00
FAG 713610930 bearing wheel kit.,1.00,,,1.00
FAG Bearing 3308 2RS,4.00,,,2.00
FAG Bearing 6236 M.C3,1.00,,,1.00
FAG bearing 6001-C-2Z,3.00,,,3.00
FAG bearing 6207-C-2Z,1.00,,,0.00
FAG bearing 6207-Z-C3,2.00,,,1.00
FAG bearing 6212-2ZR-C3,1.00,,,0.00
FAG bearing 6213-2Z/C3,1.00,,,0.00
FAG bearing 6304-C-2Z,0.00,,,4.00
FAG bearing 6305-C-2Z,1.00,,,0.00
FAG bearing 6307-Z-NR-C3 (Used),0.00,,,2.00
FAG bearing 6313-2Z/C3,1.00,,,0.00
FAG bearing 6315-C3,7.00,,,0.00
FAG bearing 6315.C3 (Used),1.00,,,0.00
FAG bearing 6316-2Z/C3,0.00,,,1.00
FAG bearing 6316\C3VL0241,0.00,,,0.00
FAG bearing 6322\C3,2.00,,,0.00
FAG bearing 6326-C3,1.00,,,0.00
FAG bearing F-23667201-C3,6.00,,,3.00
FAG bearing QJ315-XL-N2-MPAC3,1.00,,,0.00
FERROZINE RGT SOLN PLWS PK/50,0.00,,,0.00
FLP manual call point (used),2.00,,,1.00
FUSE 690C 500A,1.00,,,1.00
FUSE 690V 315A,2.00,,,1.00
FUSE BS88-4 690VAC,2.00,,,1.00
Fan axial kit,1.00,,,0.00
Fan blades,1.00,,,1.00
Fan propeller,1.00,,,0.00
Feed tube for soot blower 132613639,1.00,,,0.00
Feed tube gasket 3046340117,6.00,,,2.00
Feed tube removal tool,1.00,,,0.00
Female cable terminal 2.5SQMm,100.00,,,50.00
Ferrover Iron Reagent 100ML PK/100,0.00,,,0.00
Fevi Kwik adhesive,0.00,,,0.00
Fiber adapter,3.00,,,2.00
Fiber optic cable for CPU,2.00,,,1.00
Field,1.00,,,0.00
Fieldbus kit,1.00,,,0.00
"Filter 1/4"" SMC AF20-F02-A",1.00,,,0.00
Filter AS-SE. Pn 439-5037,3.00,,,3.00
Filter AS-SE. Pn 43950337,6.00,,,3.00
Filter JWS-14063,14.00,,,5.00
Filter JWS-14063 (Used),21.00,,,0.00
Filter cloth,1.00,,,1.00
Filter element,16.00,,,5.00
Filter element AS-X. Pn 5715253,6.00,,,3.00
Filter element for JCB. Pn 334/k2584,2.00,,,1.00
Filter element for JCB. Pn 334\G1537,3.00,,,2.00
Filter element for JCB. Pn 335/D8924,3.00,,,2.00
Filter element set for dust collecting unit.,20.00,,,5.00
"Filter foe frequency converter, ABB du/dt filter",4.00,,,2.00
Final drive shaft for Valtra tractors ACX250315B,3.00,,,2.00
Finger print machine,0.00,,,1.00
Fire alarm box,1.00,,,0.00
Fire alarm switch box,2.00,,,1.00
Fire extinguisher holder,1.00,,,0.00
Fire fighting alen key and huke,1.00,,,0.00
Fire fighting hose,2.00,,,0.00
Fire fighting hose,2.00,,,1.00
Fire fighting hose 2 inches x 30M,5.00,,,2.00
"Fire fighting hose OD2.5"" length 40M",2.00,,,1.00
Fire fighting hose reel swing,1.00,,,0.00
Fire fighting pipe nozzle 20Mm. NF-SB-202S,21.00,,,4.00
Fire fighting sprinkler,45.00,,,20.00
Fire fighting sprinkler,800.00,,,50.00
Fire proximity suit,4.00,,,2.00
Fire safe insulation,16.00,,,8.00
Fire spanner wrench,22.00,,,5.00
Fittings for pressure gauge,3.00,,,2.00
Fixation poignee type S,2.00,,,1.00
Fixing adapter,5.00,,,2.00
Fixing pack bag,1.00,,,0.00
Flame scanner.,1.00,,,0.00
"Flange  (1"") NB X 150# SA105 Material:MS",4.00,,,2.00
"Flange 1""",1.00,,,0.00
"Flange 11/2"" SSIA 182 WNRF 50NB X 1500 CL XSCH 160 B16.5 NO-AS 5851",1.00,,,0.00
"Flange 4"" ANSI/ASME B16.5 150LB ASTM A105 HS 9090",1.00,,,0.00
"Flange 6"" Pno:20-DN150 Material: Bronze",5.00,,,2.00
Flange 6* Pno:A182GRF304 Material:SS,4.00,,,2.00
"Flange DN 25/33.7 PN40 EN1092-1 (1"") Material:SS",39.00,,,5.00
"Flange DN125 OD250Mm ID140Mm (5"") Material:MS",4.00,,,1.00
Flange E25x33.7 - PN215 Material:SS,4.00,,,2.00
Flange E25x33.7 - PN250,4.00,,,2.00
"Flange OD104Mm ID22Mm (3/4"") Material:MS",1.00,,,0.00
"Flange OD105Mm ID32Mm (1"") Material: Bronze",1.00,,,0.00
"Flange OD106Mm ID24Mm (1"") Material:Bronze",4.00,,,3.00
"Flange OD106Mm ID24Mm (1"") Material:MS",11.00,,,3.00
"Flange OD106Mm ID24Mm (1"") Material:SS",14.00,,,5.00
"Flange OD106Mm ID25Mm (1"") Material:MS",18.00,,,5.00
"Flange OD106Mm ID25Mm (1"") Material:SS",7.00,,,3.00
"Flange OD106Mm ID28Mm (1"") Material:SS",2.00,,,1.00
"Flange OD106Mm ID30Mm (11/4"") Material:MS",15.00,,,5.00
"Flange OD106Mm ID34Mm (11/4"") Material:MS",4.00,,,2.00
"Flange OD108Mm ID22Mm (3/4"") Material:MS",1.00,,,0.00
"Flange OD108Mm ID25Mm (1"") Material:MS",3.00,,,1.00
"Flange OD108Mm ID25Mm (1"") Material:SS",9.00,,,3.00
"Flange OD108Mm ID33Mm (11/4"") Material:SS",5.00,,,3.00
"Flange OD108Mm ID34Mm (11/4"") Material:GI",11.00,,,4.00
"Flange OD108Mm ID35Mm (11/4"") Material:MS",2.00,,,1.00
"Flange OD110Mm ID24Mm (3/4"") Material:MS",3.00,,,2.00
"Flange OD110Mm ID25Mm (1"") Material:MS",2.00,,,1.00
"Flange OD114Mm ID38Mm (11/4"") Material:MS",4.00,,,2.00
"Flange OD114Mm ID40Mm (11/2"") Material:MS",5.00,,,2.00
"Flange OD116Mm ID18Mn (1/2"") Material: Bronze",2.00,,,1.00
